1,2,3.5
1,29,3.5
1,32,3.5
1,47,3.5
1,50,3.5
1,112,3.5
1,151,4
1,223,4
1,253,4
1,260,4
1,293,4
1,296,4
1,318,4
1,337,3.5
1,367,3.5
1,541,4
1,589,3.5
1,593,3.5
1,653,3
1,919,3.5
1,924,3.5
1,1009,3.5
1,1036,4
1,1079,4
1,1080,3.5
1,1089,3.5
1,1090,4
1,1097,4
1,1136,3.5
1,1193,3.5
1,1196,4.5
1,1198,4.5
1,1200,4
1,1201,3
1,1208,3.5
1,1214,4
1,1215,4
1,1217,3.5
1,1219,4
1,1222,3.5
1,1240,4
1,1243,3
1,1246,3.5
1,1249,4
1,1258,4
1,1259,4
1,1261,3.5
1,1262,3.5
1,1266,4
1,1278,4
1,1291,3.5
1,1304,3
1,1321,4
1,1333,4
1,1348,3.5
1,1350,3.5
1,1358,4
1,1370,3
1,1374,4
1,1387,4
1,1525,3
1,1584,3.5
1,1750,3.5
1,1848,3.5
1,1920,3.5
1,1967,4
1,1994,3.5
1,1997,3.5
1,2021,4
1,2100,4
1,2118,4
1,2138,4
1,2140,4
1,2143,4
1,2173,4
1,2174,4
1,2193,4
1,2194,3.5
1,2253,3.5
1,2288,4
1,2291,4
1,2542,4
1,2628,4
1,2644,3.5
1,2648,3.5
1,2664,3.5
1,2683,3.5
1,2692,3.5
1,2716,3.5
1,2761,3
1,2762,4
1,2804,3.5
1,2872,4
1,2918,3.5
1,2944,4
1,2947,3.5
1,2959,4
1,2968,4
1,3000,3.5
1,3030,3
1,3037,3.5
1,3081,4
1,3153,4
1,3265,3.5
1,3438,3.5
1,3476,3.5
1,3479,4
1,3489,4
1,3499,4
1,3889,4
1,3932,3
1,3996,4
1,3997,3.5
1,4011,4
1,4027,4
1,4105,3.5
1,4128,4
1,4133,3
1,4226,3.5
1,4306,4
1,4446,3.5
1,4467,4
1,4571,4
1,4720,3.5
1,4754,4
1,4878,3.5
1,4896,4
1,4911,4
1,4915,3
1,4941,3.5
1,4980,3.5
1,4993,5
1,5026,4
1,5039,4
1,5040,3
1,5146,3.5
1,5171,4
1,5540,4
1,5679,3.5
1,5797,4
1,5816,4
1,5898,3.5
1,5952,5
1,5999,3.5
1,6093,4
1,6242,3.5
1,6333,4
1,6502,3.5
1,6539,4
1,6754,4
1,6755,3.5
1,6774,4
1,6807,3.5
1,6834,3.5
1,6888,3
1,7001,3.5
1,7045,3.5
1,7046,4
1,7153,5
1,7164,3.5
1,7247,3.5
1,7387,3.5
1,7389,4
1,7438,4
1,7449,3.5
1,7454,4
1,7482,3
1,7757,4
1,8368,4
1,8482,3.5
1,8507,5
1,8636,4.5
1,8690,3.5
1,8961,4
1,31696,4
2,3,4
2,62,5
2,70,5
2,110,4
2,242,3
2,260,5
2,266,5
2,469,3
2,480,5
2,541,5
2,589,5
2,891,2
2,908,4
2,924,5
2,1121,3
2,1196,5
2,1210,5
2,1214,5
2,1249,5
2,1259,5
2,1270,5
2,1327,5
2,1356,5
2,1544,5
2,1580,4
2,1673,4
2,1748,5
2,1965,3
2,1969,2
2,1970,2
2,1971,2
2,1972,2
2,1973,3
2,1974,5
2,1986,2
2,2291,2
2,2454,4
2,2455,4
2,2791,2
2,2858,3
2,2948,5
2,2951,4
2,3150,4
2,3159,3
2,3173,4
2,3450,5
2,3513,5
2,3534,3
2,3555,4
2,3565,3
2,3703,4
2,3753,4
2,3917,4
2,3918,3
2,3923,4
2,3926,4
2,3927,5
2,3928,5
2,3930,5
2,3937,4
2,3959,5
3,1,4
3,24,3
3,32,4
3,50,5
3,160,3
3,173,2
3,175,5
3,196,3
3,223,5
3,260,5
3,316,5
3,318,5
3,329,5
3,337,3
3,440,3
3,442,3
3,457,5
3,480,5
3,490,5
3,512,2
3,541,5
3,589,4
3,593,5
3,610,4
3,718,3
3,780,3
3,788,4
3,858,5
3,904,5
3,905,3
3,919,4
3,924,5
3,953,5
3,968,3
3,1037,3
3,1060,5
3,1073,5
3,1077,4
3,1079,4
3,1084,5
3,1089,5
3,1094,4
3,1097,5
3,1103,4
3,1125,4
3,1127,3
3,1129,5
3,1179,3
3,1188,2
3,1193,4
3,1196,5
3,1197,5
3,1198,5
3,1199,4
3,1200,4
3,1206,5
3,1208,5
3,1210,5
3,1213,5
3,1214,5
3,1215,4
3,1219,4
3,1220,5
3,1221,5
3,1222,5
3,1225,3
3,1228,3
3,1230,5
3,1240,5
3,1242,5
3,1247,5
3,1257,5
3,1258,5
3,1259,5
3,1261,5
3,1266,5
3,1270,5
3,1272,4
3,1276,5
3,1278,5
3,1288,2
3,1304,5
3,1307,4
3,1321,5
3,1330,3
3,1333,4
3,1345,4
3,1356,5
3,1372,3
3,1373,4
3,1374,5
3,1375,5
3,1376,4
3,1396,3
3,1544,4
3,1584,4
3,1603,4
3,1653,4
3,1674,4
3,1676,5
3,1721,4
3,1762,4
3,1779,3
3,1810,3
3,1831,5
3,1876,4
3,1882,4
3,1909,5
3,1917,4
3,1921,4
3,2009,5
3,2011,3
3,2012,3
3,2018,4
3,2028,4
3,2034,4
3,2046,5
3,2053,3
3,2054,4
3,2076,5
3,2093,5
3,2105,4
3,2117,5
3,2118,5
3,2140,4
3,2150,5
3,2236,4
3,2288,5
3,2311,4
3,2329,4
3,2366,4
3,2371,4
3,2391,5
3,2407,4
3,2428,4
3,2448,5
3,2455,4
3,2505,4
3,2528,4
3,2529,5
3,2530,4
3,2531,3
3,2532,4
3,2533,3
3,2541,1
3,2551,4
3,2567,3
3,2571,5
3,2574,3
3,2613,4
3,2615,4
3,2628,5
3,2640,4
3,2642,3
3,2643,1
3,2657,3
3,2662,3
3,2668,4
3,2676,1
3,2694,4
3,2699,3
3,2710,5
3,2722,4
3,2750,4
3,2788,5
3,2791,5
3,2797,4
3,2808,4
3,2857,3
3,2872,5
3,2900,3
3,2901,3
3,2916,4
3,2918,5
3,2947,4
3,2948,4
3,2949,4
3,2968,5
3,2985,5
3,2986,2
3,3033,5
3,3039,5
3,3070,4
3,3072,4
3,3098,4
3,3142,4
3,5060,5
4,6,3
4,10,4
4,19,3
4,32,1
4,165,3
4,329,3
4,350,4
4,356,4
4,367,3
4,368,4
4,370,4
4,377,4
4,380,3
4,420,3
4,431,4
4,440,3
4,454,5
4,480,4
4,489,4
4,519,3
4,520,4
4,531,3
4,548,3
4,586,4
4,589,4
4,594,4
4,596,4
4,733,5
5,2,3
5,11,5
5,17,3
5,60,3
